Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,04/30/2024,"AMZN Mktp US*MQ0WY4B Amzn.com/bill WA        04/30",-91.95,DEBIT_CARD, ,,
DEBIT,04/30/2024,"AMZN Mktp US*XG73Y2Y Amzn.com/bill WA        04/30",-27.01,DEBIT_CARD, ,,
DEBIT,04/29/2024,"STATE FARM  INSURANCE 800-956-6310 IL        04/26",-159.36,DEBIT_CARD, ,,
DEBIT,04/29/2024,"IN-N-OUT DALLAS-CARUTH DALLAS TX             04/28",-13.80,DEBIT_CARD, ,,
DEBIT,04/29/2024,"SQ *THE LATIN PIG CUBAN Plano TX             04/28",-59.11,DEBIT_CARD, ,,
DEBIT,04/29/2024,"GOOGLE *WM Max LLC 855-836-3987 CA           04/29",-17.31,DEBIT_CARD, ,,
DEBIT,04/29/2024,"Peacock 5086A Premium 212-6640138 NY         04/29",-6.48,DEBIT_CARD, ,,
DEBIT,04/29/2024,"LYFT   *1 RIDE 04-27 HELP.LYFT.COM CA        04/29",-36.52,DEBIT_CARD, ,,
DEBIT,04/29/2024,"CENTRAL MARKET #552 DALLAS TX        626196  04/29",-212.22,DEBIT_CARD, ,,
DEBIT,04/26/2024,"LYFT   *1 RIDE 04-24 HELP.LYFT.COM CA        04/26",-23.21,DEBIT_CARD, ,,
DEBIT,04/26/2024,"POTBELLY #234 DALLAS TX                      04/24",-27.65,DEBIT_CARD, ,,
DEBIT,04/26/2024,"NETFLIX.COM NETFLIX.COM CA                   04/26",-24.89,DEBIT_CARD, ,,
DEBIT,04/25/2024,"HOTEL INDIGO 9155325200 TX                   04/24",-63.47,DEBIT_CARD, ,,
DEBIT,04/25/2024,"ALON DK #51643 EL PASO TX                    04/24",-35.87,DEBIT_CARD, ,,
DEBIT,04/25/2024,"STARBUCKS POST SEC ELP EL PASO TX            04/24",-7.42,DEBIT_CARD, ,,
DEBIT,04/25/2024,"ELP HERITAGE BOOKS EL PASO TX                04/24",-6.48,DEBIT_CARD, ,,
DEBIT,04/24/2024,"EL PASO COFFEE BOX EL PASO TX                04/22",-13.13,DEBIT_CARD, ,,
DEBIT,04/24/2024,"5GUYS 1608 QSR 2750 MA LAS CRUCES NM 230331  04/23",-50.82,DEBIT_CARD, ,,
DEBIT,04/24/2024,"VC* BUCKINGHAM PLANO HTTPSWWW.VETC FL        04/24",-76.37,DEBIT_CARD, ,,
DEBIT,04/24/2024,"PETSMART # 1232 DALLAS TX            594583  04/24",-30.85,DEBIT_CARD, ,,
DEBIT,04/22/2024,"LYFT   *1 RIDE 04-19 HELP.LYFT.COM CA        04/21",-28.99,DEBIT_CARD, ,,
DEBIT,04/22/2024,"STARBUCKS WEST DAL DALLAS TX                 04/19",-15.97,DEBIT_CARD, ,,
DEBIT,04/22/2024,"AMAZON PRIME*J50K76R4 888-802-3080 WA        04/19",-1.07,DEBIT_CARD, ,,
DEBIT,04/22/2024,"HTL PASO DEL N AUTOGRP EL PASO TX            04/21",-455.98,DEBIT_CARD, ,,
DEBIT,04/22/2024,"LYFT   *1 RIDE 04-20 HELP.LYFT.COM CA        04/22",-10.86,DEBIT_CARD, ,,
DEBIT,04/22/2024,"LYFT   *CANCEL FEE HELP.LYFT.COM CA          04/22",-5.00,DEBIT_CARD, ,,
DEBIT,04/22/2024,"HTL PASO DEL N AUTOGRP EL PASO TX            04/21",-75.00,DEBIT_CARD, ,,
DEBIT,04/22/2024,"ALBERTSONS #393 EL PASO TX                   04/21",-22.38,DEBIT_CARD, ,,
DEBIT,04/22/2024,"ALBERTSONS #393 EL PASO TX                   04/21",-13.96,DEBIT_CARD, ,,
DEBIT,04/19/2024,"BKGHOTEL AT BOOKING.C 147-036-3250 NY        04/19",-536.00,DEBIT_CARD, ,,
DEBIT,04/19/2024,"WALGREENS STORE 2879 M EL PASO TX    824310  04/19",-28.55,DEBIT_CARD, ,,
DEBIT,04/18/2024,"ELM ST SHARED ACCOUNT DALLAS TX              04/17",-14.00,DEBIT_CARD, ,,
DEBIT,04/18/2024,"TST* WHITE ROCK COFFEE Dallas TX             04/17",-16.13,DEBIT_CARD, ,,
DEBIT,04/18/2024,"M NAIL BAR DALLAS TX                         04/17",-50.00,DEBIT_CARD, ,,
DEBIT,04/16/2024,"AMZN Mktp US*HC5V05Y Amzn.com/bill WA        04/15",-56.68,DEBIT_CARD, ,,
DEBIT,04/16/2024,"AMAZON PRIME*US5OL3S2 888-802-3080 WA        04/15",-5.40,DEBIT_CARD, ,,
DEBIT,04/15/2024,"ELM ST SHARED ACCOUNT DALLAS TX              04/12",-9.00,DEBIT_CARD, ,,
DEBIT,04/15/2024,"SOUTHWES    526228105 800-435-9792 TX        04/11",-759.92,DEBIT_CARD, ,,
DEBIT,04/15/2024,"CENTRAL MARKET #552 DALLAS TX        923197  04/13",-53.73,DEBIT_CARD, ,,
DEBIT,04/15/2024,"CENTRAL MARKET #552 DALLAS TX        941931  04/14",-101.49,DEBIT_CARD, ,,
DEBIT,04/15/2024,"Spectrum 855-707-7328 MO                     04/15",-65.33,DEBIT_CARD, ,,
DEBIT,04/15/2024,"MACY'S    8687 N CENTR DALLAS TX             04/15",-329.08,DEBIT_CARD, ,,
DEBIT,04/11/2024,"ELM ST SHARED ACCOUNT DALLAS TX              04/10",-14.00,DEBIT_CARD, ,,
DEBIT,04/11/2024,"Mindful Dermatology Dallas TX                04/10",-401.35,DEBIT_CARD, ,,
DEBIT,04/11/2024,"PARKING COMPANY AMERICA DALLAS TX            04/10",-2.17,DEBIT_CARD, ,,
DEBIT,04/11/2024,"CVS/PHARMACY #02 02979 DALLAS TX     621301  04/11",-80.51,DEBIT_CARD, ,,
DEBIT,04/11/2024,"CVS/PHARMACY #02 02979 DALLAS TX     232893  04/11",-49.50,DEBIT_CARD, ,,
DEBIT,04/10/2024,"DD *RUSTYTACO 855-431-0459 CA                04/09",-46.93,DEBIT_CARD, ,,
DEBIT,04/10/2024,"BRK PARKING DALLAS TX                        04/09",-5.00,DEBIT_CARD, ,,
DEBIT,04/08/2024,"ALAMO DRFTHS DALLAS RES DALLAS TX            04/02",-67.43,DEBIT_CARD, ,,
DEBIT,04/08/2024,"TST* WHITE ROCK COFFEE Dallas TX             04/05",-15.70,DEBIT_CARD, ,,
DEBIT,04/08/2024,"IN-N-OUT DALLAS-CARUTH DALLAS TX             04/05",-16.13,DEBIT_CARD, ,,
