Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,08/30/2024,"AMAZON MKTPL*RK52R27 Amzn.com/bill WA        08/30",-47.62,DEBIT_CARD, ,,
DEBIT,08/29/2024,"VELVET TACO GREENVILLE 469-2488226 TX        08/27",-46.53,DEBIT_CARD, ,,
DEBIT,08/29/2024,"GOOGLE *WM Max LLC g.co/helppay# CA          08/29",-18.39,DEBIT_CARD, ,,
DEBIT,08/29/2024,"Peacock 9EEFF Premium 212-6640138 NY         08/29",-8.65,DEBIT_CARD, ,,
DEBIT,08/28/2024,"STATE FARM  INSURANCE 800-956-6310 IL        08/27",-153.86,DEBIT_CARD, ,,
DEBIT,08/28/2024,"VC* BUCKINGHAM PLANO HTTPSWWW.VETC FL        08/28",-76.37,DEBIT_CARD, ,,
DEBIT,08/27/2024,"Kindle Svcs*R47SQ0SW0 888-802-3080 WA        08/26",-9.73,DEBIT_CARD, ,,
DEBIT,08/26/2024,"Netflix.com 408-5403700 CA                   08/26",-24.89,DEBIT_CARD, ,,
DEBIT,08/22/2024,"AMAZON MKTPL*R46238O Amzn.com/bill WA        08/22",-19.99,DEBIT_CARD, ,,
DEBIT,08/21/2024,"AMZN Mktp US*RU9SH2Y Amzn.com/bill WA        08/21",-118.95,DEBIT_CARD, ,,
DEBIT,08/20/2024,"AMAZON MKTPL*RU0W786 Amzn.com/bill WA        08/20",-43.29,DEBIT_CARD, ,,
DEBIT,08/19/2024,"ON THE BORDER WILLOW B 972-3720070 TX        08/17",-40.60,DEBIT_CARD, ,,
DEBIT,08/19/2024,"TOM THUMB #2570 PLANO TX                     08/17",-23.38,DEBIT_CARD, ,,
DEBIT,08/15/2024,"AMAZON MKTPL*RU3YG8C Amzn.com/bill WA        08/14",-76.39,DEBIT_CARD, ,,
DEBIT,08/15/2024,"Kindle Svcs*RU1RT6O31 888-802-3080 WA        08/15",-5.40,DEBIT_CARD, ,,
DEBIT,08/15/2024,"Spectrum 855-707-7328 MO                     08/15",-68.34,DEBIT_CARD, ,,
DEBIT,08/12/2024,"QT 898 PLANO TX                              08/08",-43.49,DEBIT_CARD, ,,
DEBIT,08/12/2024,"M NAIL BAR DALLAS TX                         08/10",-120.00,DEBIT_CARD, ,,
DEBIT,08/12/2024,"AMC 0159 NORTHPARK 15 DALLAS TX              08/10",-24.87,DEBIT_CARD, ,,
DEBIT,08/12/2024,"Amazon.com*RM62G2X61 Amzn.com/bill WA        08/11",-19.45,DEBIT_CARD, ,,
DEBIT,08/12/2024,"AMAZON MKTPL*RM02A75 Amzn.com/bill WA        08/11",-37.88,DEBIT_CARD, ,,
DEBIT,08/09/2024,"CENTRAL MARKET #552 DALLAS TX        714808  08/09",-34.97,DEBIT_CARD, ,,
DEBIT,08/08/2024,"ELM ST SHARED ACCOUNT DALLAS TX              08/07",-9.00,DEBIT_CARD, ,,
DEBIT,08/08/2024,"TST* SALATA - PACIFIC D DALLAS TX            08/07",-22.06,DEBIT_CARD, ,,
DEBIT,08/07/2024,"VC* BUCKINGHAM PLANO HTTPSWWW.VETC FL        08/07",-76.37,DEBIT_CARD, ,,
DEBIT,08/06/2024,"POTBELLY HTTPSWWW.POTB TX                    08/05",-28.12,DEBIT_CARD, ,,
DEBIT,08/06/2024,"LYFT   *1 RIDE 08-04 HELP.LYFT.COM CA        08/06",-24.78,DEBIT_CARD, ,,
DEBIT,08/06/2024,"SNACK* WOW BAO PACIFI 186-68682146 CA        08/06",-18.57,DEBIT_CARD, ,,
DEBIT,08/05/2024,"GOOGLE *Google One g.co/helppay# CA          08/02",-2.12,DEBIT_CARD, ,,
DEBIT,08/05/2024,"VENMO  *Veronica McGro Visa Direct NY        08/02",-64.00,DEBIT_CARD, ,,
DEBIT,08/05/2024,"VENMO  *Kayla Carrillo Visa Direct NY        08/02",-54.50,DEBIT_CARD, ,,
DEBIT,08/05/2024,"LYFT   *INCREASE TIP HELP.LYFT.COM CA        08/05",-3.98,DEBIT_CARD, ,,
DEBIT,08/05/2024,"AMAZON MKTPL*RF2N998 Amzn.com/bill WA        08/05",-135.61,DEBIT_CARD, ,,
DEBIT,08/02/2024,"CG BOLD+ CAMPGLADIATOR TX                    08/02",-79.00,DEBIT_CARD, ,,
DEBIT,08/01/2024,"LYFT   *RIDE TUE 2PM HELP.LYFT.COM CA        08/01",-19.89,DEBIT_CARD, ,,
