Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,02/29/2024,"Dummy Description",-9.00,DEBIT_CARD, ,,
DEBIT,02/29/2024,"Dummy Description",-40.19,DEBIT_CARD, ,,
DEBIT,02/29/2024,"Dummy Description",-19.36,DEBIT_CARD, ,,
DEBIT,02/29/2024,"Dummy Description",-15.70,DEBIT_CARD, ,,
DEBIT,02/29/2024,"Dummy Description",-12.98,DEBIT_CARD, ,,
DEBIT,02/29/2024,"Dummy Description",-17.31,DEBIT_CARD, ,,
DEBIT,02/29/2024,"Dummy Description",-6.48,DEBIT_CARD, ,,
DEBIT,02/28/2024,"Dummy Description",-159.36,DEBIT_CARD, ,,
DEBIT,02/28/2024,"Dummy Description",-150.47,DEBIT_CARD, ,,
DEBIT,02/28/2024,"Dummy Description",-30.30,DEBIT_CARD, ,,
DEBIT,02/26/2024,"Dummy Description",-60.00,DEBIT_CARD, ,,
DEBIT,02/26/2024,"Dummy Description",-70.70,DEBIT_CARD, ,,
DEBIT,02/26/2024,"Dummy Description",-22.98,DEBIT_CARD, ,,
DEBIT,02/26/2024,"Dummy Description",-15.70,DEBIT_CARD, ,,
DEBIT,02/26/2024,"Dummy Description",-36.17,DEBIT_CARD, ,,
DEBIT,02/26/2024,"Dummy Description",-9.78,DEBIT_CARD, ,,
DEBIT,02/26/2024,"Dummy Description",-39.33,DEBIT_CARD, ,,
DEBIT,02/26/2024,"Dummy Description",-24.89,DEBIT_CARD, ,,
DEBIT,02/23/2024,"Dummy Description",-30.00,DEBIT_CARD, ,,
DEBIT,02/23/2024,"Dummy Description",-26.49,DEBIT_CARD, ,,
DEBIT,02/22/2024,"Dummy Description",-14.00,DEBIT_CARD, ,,
DEBIT,02/22/2024,"Dummy Description",-4.32,DEBIT_CARD, ,,
DEBIT,02/20/2024,"Dummy Description",-227.64,DEBIT_CARD, ,,
DEBIT,02/15/2024,"Dummy Description",-43.98,DEBIT_CARD, ,,
DEBIT,02/15/2024,"Dummy Description",-65.33,DEBIT_CARD, ,,
DEBIT,02/14/2024,"Dummy Description",-159.99,DEBIT_CARD, ,,
DEBIT,02/13/2024,"Dummy Description",-26.70,DEBIT_CARD, ,,
DEBIT,02/13/2024,"Dummy Description",-4.32,DEBIT_CARD, ,,
DEBIT,02/12/2024,"Dummy Description",-4.32,DEBIT_CARD, ,,
DEBIT,02/12/2024,"Dummy Description",-49.37,DEBIT_CARD, ,,
DEBIT,02/12/2024,"Dummy Description",-68.27,DEBIT_CARD, ,,
DEBIT,02/12/2024,"Dummy Description",-4.32,DEBIT_CARD, ,,
DEBIT,02/09/2024,"Dummy Description",-14.00,DEBIT_CARD, ,,
DEBIT,02/08/2024,"Dummy Description",-14.00,DEBIT_CARD, ,,
DEBIT,02/07/2024,"Dummy Description",-385.40,ACH_DEBIT, ,,
DEBIT,02/06/2024,"Dummy Description",-9.73,DEBIT_CARD, ,,
DEBIT,02/05/2024,"Dummy Description",-23.70,DEBIT_CARD, ,,
DEBIT,02/05/2024,"Dummy Description",-2.12,DEBIT_CARD, ,,
DEBIT,02/05/2024,"Dummy Description",-27.24,DEBIT_CARD, ,,
DEBIT,02/05/2024,"Dummy Description",-14.70,DEBIT_CARD, ,,
DEBIT,02/05/2024,"Dummy Description",-177.46,DEBIT_CARD, ,,
DEBIT,02/05/2024,"Dummy Description",-228.63,DEBIT_CARD, ,,
DEBIT,02/05/2024,"Dummy Description",-28.13,DEBIT_CARD, ,,
DEBIT,02/05/2024,"Dummy Description",-134.13,DEBIT_CARD, ,,
DEBIT,02/05/2024,"Dummy Description",-4.32,DEBIT_CARD, ,,
DEBIT,02/05/2024,"Dummy Description",-27.05,DEBIT_CARD, ,,
DEBIT,02/05/2024,"Dummy Description",-14.02,DEBIT_CARD, ,,
DEBIT,02/05/2024,"Dummy Description",-5000.00,WIRE_OUTGOING, ,,
DEBIT,02/05/2024,"Dummy Description",-33.12,DEBIT_CARD, ,,
DEBIT,02/02/2024,"Dummy Description",-4.32,DEBIT_CARD, ,,
DEBIT,02/02/2024,"Dummy Description",-69.00,DEBIT_CARD, ,,
DEBIT,02/01/2024,"Dummy Description",-27.29,DEBIT_CARD, ,,
DEBIT,02/01/2024,"Dummy Description",-4740.00,WIRE_OUTGOING, ,,
