Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,01/31/2024,"Audible*R24XT2MX0 Amzn.com/bill NJ           01/30",-16.18,DEBIT_CARD, ,,
DEBIT,01/31/2024,"Prime Video Channels amzn.com/bill WA        01/30",-7.57,DEBIT_CARD, ,,
DEBIT,01/31/2024,"Kindle Svcs*R230J6LE2 888-802-3080 WA        01/31",-4.32,DEBIT_CARD, ,,
DEBIT,01/29/2024,"STATE FARM  INSURANCE 800-956-6310 IL        01/26",-159.36,DEBIT_CARD, ,,
DEBIT,01/29/2024,"VENMO  *Kathleen C Visa Direct NY            01/27",-185.00,DEBIT_CARD, ,,
DEBIT,01/29/2024,"Zelle payment to Cat De La Pena 19696850682",-60.00,QUICKPAY_DEBIT, ,,
DEBIT,01/29/2024,"Zelle payment to Cat De La Pena 19700076470",-70.00,QUICKPAY_DEBIT, ,,
DEBIT,01/29/2024,"GOOGLE *WM Max LLC g.co/helppay# CA          01/28",-17.31,DEBIT_CARD, ,,
DEBIT,01/29/2024,"Peacock 96A50 Premium 212-6640138 NY         01/29",-6.48,DEBIT_CARD, ,,
DEBIT,01/26/2024,"VENMO  *Kara Salazar Visa Direct NY          01/25",-14.00,DEBIT_CARD, ,,
DEBIT,01/26/2024,"Netflix 1 8445052993 CA                      01/26",-24.89,DEBIT_CARD, ,,
DEBIT,01/24/2024,"NTTA AUTOCHARGE 972-818-6882 TX              01/23",-20.00,DEBIT_CARD, ,,
DEBIT,01/24/2024,"AMZN Mktp US*R818V77 Amzn.com/bill WA        01/24",-34.63,DEBIT_CARD, ,,
DEBIT,01/23/2024,"AMZN Mktp US*R89XU09 Amzn.com/bill WA        01/23",-33.55,DEBIT_CARD, ,,
DEBIT,01/23/2024,"AMZN Mktp US*R86D89Q Amzn.com/bill WA        01/22",-44.80,DEBIT_CARD, ,,
DEBIT,01/23/2024,"AMZN Mktp US*R82N84D Amzn.com/bill WA        01/23",-17.31,DEBIT_CARD, ,,
DEBIT,01/23/2024,"ULTA # 397 DALLAS TX                         01/23",-144.29,DEBIT_CARD, ,,
DEBIT,01/22/2024,"AMZN Mktp US*R82525X Amzn.com/bill WA        01/20",-62.08,DEBIT_CARD, ,,
DEBIT,01/22/2024,"EWC Dallas Old Town Dallas TX                01/22",-75.00,DEBIT_CARD, ,,
DEBIT,01/19/2024,"AMZN Mktp US*R81CW2C Amzn.com/bill WA        01/18",-30.30,DEBIT_CARD, ,,
DEBIT,01/19/2024,"TRUFUSION  DALLAS 773-3542406 TX             01/18",-20.00,DEBIT_CARD, ,,
DEBIT,01/18/2024,"AMZN Mktp US*RT46Q6U Amzn.com/bill WA        01/17",-29.22,DEBIT_CARD, ,,
DEBIT,01/18/2024,"AMZN Mktp US*RT0HI59 Amzn.com/bill WA        01/17",-27.05,DEBIT_CARD, ,,
DEBIT,01/18/2024,"TST* BUZZ & BUSTLE Dallas TX                 01/17",-22.12,DEBIT_CARD, ,,
DEBIT,01/18/2024,"AMZN Mktp US*R871829 Amzn.com/bill WA        01/18",-53.14,DEBIT_CARD, ,,
DEBIT,01/18/2024,"TST* VELVET TACO - DALL DALLAS TX            01/18",-46.77,DEBIT_CARD, ,,
DEBIT,01/16/2024,"Amazon.com*RT6F101W2 Amzn.com/bill WA        01/12",-10.40,DEBIT_CARD, ,,
DEBIT,01/16/2024,"TST* RUSSOS NEW YORK 972-235-7992 TX         01/13",-41.62,DEBIT_CARD, ,,
DEBIT,01/16/2024,"TST* WHITE ROCK COFFEE Dallas TX             01/12",-16.70,DEBIT_CARD, ,,
DEBIT,01/16/2024,"Kindle Svcs*RT3EM8PW2 888-802-3080 WA        01/12",-9.72,DEBIT_CARD, ,,
DEBIT,01/16/2024,"SP DERMABLEND PRO DERMABLEND.CO MD           01/13",-49.00,DEBIT_CARD, ,,
DEBIT,01/16/2024,"PETSMART # 1232 DALLAS TX            582512  01/14",-52.12,DEBIT_CARD, ,,
DEBIT,01/16/2024,"TOM THUMB #2642 DALLAS TX            944519  01/14",-162.03,DEBIT_CARD, ,,
DEBIT,01/16/2024,"Spectrum 855-707-7328 MO                     01/15",-65.33,DEBIT_CARD, ,,
DEBIT,01/16/2024,"CVS/PHARMACY #06 06824 Dallas TX     607709  01/16",-3.23,DEBIT_CARD, ,,
DEBIT,01/12/2024,"LYFT   *2 RIDES 01-10 855-865-9553 CA        01/12",-45.38,DEBIT_CARD, ,,
DEBIT,01/12/2024,"NTTA AUTOCHARGE 972-818-6882 TX              01/11",-20.00,DEBIT_CARD, ,,
DEBIT,01/12/2024,"MIDWAY AUTO CENTER CARROLLTON TX             01/12",-493.29,DEBIT_CARD, ,,
DEBIT,01/11/2024,"DOWNDOGAPP.COM DOWNDOGAPP.CO CA              01/10",-14.99,DEBIT_CARD, ,,
DEBIT,01/10/2024,"TRUFUSION  DALLAS 773-3542406 TX             01/09",-20.00,DEBIT_CARD, ,,
DEBIT,01/08/2024,"DD *BIGDASHICEC 855-431-0459 CA              01/05",-38.69,DEBIT_CARD, ,,
DEBIT,01/08/2024,"FLOWER SHOP NETWORK 877-376-7363 AR          01/05",-115.92,DEBIT_CARD, ,,
DEBIT,01/08/2024,"Kindle Svcs*TK8D95NS1 888-802-3080 WA        01/05",-2.70,DEBIT_CARD, ,,
DEBIT,01/08/2024,"AMZN Mktp US*TK7502M Amzn.com/bill WA        01/08",-43.29,DEBIT_CARD, ,,
DEBIT,01/08/2024,"POTBELLY HTTPSWWW.POTB UT                    01/07",-28.36,DEBIT_CARD, ,,
DEBIT,01/08/2024,"AMZN Mktp US*TK7986M Amzn.com/bill WA        01/08",-38.96,DEBIT_CARD, ,,
DEBIT,01/05/2024,"AMZN Mktp US*TK0Q742 Amzn.com/bill WA        01/05",-82.18,DEBIT_CARD, ,,
DEBIT,01/05/2024,"AMZN Mktp US*TK66X7J Amzn.com/bill WA        01/04",-87.66,DEBIT_CARD, ,,
DEBIT,01/04/2024,"TRUFUSION  DALLAS 773-3542406 TX             01/03",-15.00,DEBIT_CARD, ,,
DEBIT,01/03/2024,"AMZN Mktp US*4I6XX7D Amzn.com/bill WA        01/03",-161.27,DEBIT_CARD, ,,
DEBIT,01/03/2024,"GOOGLE *Google Storag 855-836-3987 CA        01/02",-2.12,DEBIT_CARD, ,,
DEBIT,01/03/2024,"TRUFUSION  DALLAS 773-3542406 TX             01/02",-3.00,DEBIT_CARD, ,,
DEBIT,01/02/2024,"Audible*UG38H2R63 Amzn.com/bill NJ           12/30",-16.18,DEBIT_CARD, ,,
DEBIT,01/02/2024,"Prime Video Channels amzn.com/bill WA        12/30",-7.57,DEBIT_CARD, ,,
DEBIT,01/02/2024,"AMZN Mktp US*N49S47L Amzn.com/bill WA        01/02",-124.48,DEBIT_CARD, ,,
DEBIT,01/02/2024,"CG BOLD+ CAMPGLADIATOR TX                    01/02",-69.00,DEBIT_CARD, ,,
