Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,07/31/2024,"Audible*RV1YA9290 Amzn.com/bill NJ           07/30",-16.18,DEBIT_CARD, ,,
DEBIT,07/31/2024,"Prime Video Channels amzn.com/bill WA        07/30",-7.57,DEBIT_CARD, ,,
DEBIT,07/31/2024,"Kindle Svcs*RV1TO8HB1 888-802-3080 WA        07/31",-8.65,DEBIT_CARD, ,,
DEBIT,07/29/2024,"STATE FARM  INSURANCE 800-956-6310 IL        07/26",-153.86,DEBIT_CARD, ,,
DEBIT,07/29/2024,"GOOGLE *WM Max LLC g.co/helppay# CA          07/29",-18.39,DEBIT_CARD, ,,
DEBIT,07/29/2024,"Peacock 2E965 Premium 212-6640138 NY         07/29",-6.48,DEBIT_CARD, ,,
DEBIT,07/26/2024,"NETFLIX.COM NETFLIX.COM CA                   07/26",-24.89,DEBIT_CARD, ,,
DEBIT,07/26/2024,"VENMO  *Cindy Gonzales Visa Direct NY        07/26",-25.00,DEBIT_CARD, ,,
DEBIT,07/24/2024,"POTBELLY HTTPSWWW.POTB TX                    07/24",-22.67,DEBIT_CARD, ,,
DEBIT,07/23/2024,"Kindle Svcs*RJ0GY1GK1 888-802-3080 WA        07/23",-7.57,DEBIT_CARD, ,,
DEBIT,07/22/2024,"AMAZON MKTPL*RJ8YV70 Amzn.com/bill WA        07/22",-17.29,DEBIT_CARD, ,,
DEBIT,07/19/2024,"VENMO  *Kara Salazar Visa Direct NY          07/18",-28.00,DEBIT_CARD, ,,
DEBIT,07/18/2024,"AMAZON MKTPL*RS1XM7K Amzn.com/bill WA        07/17",-35.18,DEBIT_CARD, ,,
DEBIT,07/18/2024,"VC* BUCKINGHAM PLANO HTTPSWWW.VETC FL        07/17",-76.37,DEBIT_CARD, ,,
DEBIT,07/18/2024,"Kindle Svcs*RS5BY1B41 888-802-3080 WA        07/18",-4.32,DEBIT_CARD, ,,
DEBIT,07/16/2024,"Amazon.com*RS1ED34Q1 Amzn.com/bill WA        07/16",-18.98,DEBIT_CARD, ,,
DEBIT,07/16/2024,"VENMO  *Kayla Carrillo Visa Direct NY        07/16",-420.00,DEBIT_CARD, ,,
DEBIT,07/15/2024,"SARA'S MARKET & RICHARDSON TX                07/13",-90.04,DEBIT_CARD, ,,
DEBIT,07/15/2024,"Spectrum 855-707-7328 MO                     07/15",-65.33,DEBIT_CARD, ,,
DEBIT,07/12/2024,"AMAZON MKTPL*RY1ZD7X Amzn.com/bill WA        07/11",-43.29,DEBIT_CARD, ,,
DEBIT,07/12/2024,"Kindle Svcs*RY6WD7XP2 888-802-3080 WA        07/11",-1.07,DEBIT_CARD, ,,
DEBIT,07/12/2024,"AMAZON MKTPL*RY4DC6K Amzn.com/bill WA        07/12",-28.13,DEBIT_CARD, ,,
DEBIT,07/12/2024,"Amazon.com*RY1KV1KE0 Amzn.com/bill WA        07/12",-22.82,DEBIT_CARD, ,,
