Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,06/28/2024,"TST* WHITE ROCK COFFEE Dallas TX             06/27",-17.16,DEBIT_CARD, ,,
DEBIT,06/28/2024,"IN-N-OUT DALLAS-CARUTH DALLAS TX             06/27",-16.13,DEBIT_CARD, ,,
DEBIT,06/28/2024,"CVS/PHARMACY #10 10351 DALLAS TX     022493  06/28",-52.11,DEBIT_CARD, ,,
DEBIT,06/28/2024,"BUC-EE'S #59 HILLSBORO TX            089969  06/28",-37.94,DEBIT_CARD, ,,
DEBIT,06/27/2024,"ELM ST SHARED ACCOUNT DALLAS TX              06/26",-18.00,DEBIT_CARD, ,,
DEBIT,06/27/2024,"STATE FARM  INSURANCE 800-956-6310 IL        06/26",-153.86,DEBIT_CARD, ,,
DEBIT,06/26/2024,"AMAZON PRIME*RG8AQ2Y1 888-802-3080 WA        06/25",-6.48,DEBIT_CARD, ,,
DEBIT,06/26/2024,"Netflix 1 8445052993 CA                      06/26",-24.89,DEBIT_CARD, ,,
DEBIT,06/26/2024,"VC* BUCKINGHAM PLANO HTTPSWWW.VETC FL        06/26",-76.37,DEBIT_CARD, ,,
DEBIT,06/25/2024,"EL PASO COFFEE BOX EL PASO TX                06/23",-15.46,DEBIT_CARD, ,,
DEBIT,06/25/2024,"SCHLOTZSKYS EL PASO EL PASO TX               06/23",-11.78,DEBIT_CARD, ,,
DEBIT,06/25/2024,"AMAZON PRIME*RG5TZ5K5 888-802-3080 WA        06/24",-4.32,DEBIT_CARD, ,,
DEBIT,06/25/2024,"LYFT   *2 RIDES 06-2 HELP.LYFT.COM CA        06/25",-43.98,DEBIT_CARD, ,,
DEBIT,06/25/2024,"SNACK* SOCIAL CHICKEN 186-68682146 CA        06/25",-16.72,DEBIT_CARD, ,,
DEBIT,06/24/2024,"STARBUCKS WEST DAL DALLAS TX                 06/21",-19.97,DEBIT_CARD, ,,
DEBIT,06/24/2024,"EL PASO COFFEE BOX EL PASO TX                06/21",-16.23,DEBIT_CARD, ,,
DEBIT,06/24/2024,"TST* TACONETA El Paso TX                     06/21",-48.38,DEBIT_CARD, ,,
DEBIT,06/24/2024,"MAMACITAS EL PASO TX                         06/22",-55.55,DEBIT_CARD, ,,
DEBIT,06/24/2024,"LYFT   *3 RIDES 06-2 HELP.LYFT.COM CA        06/23",-65.11,DEBIT_CARD, ,,
DEBIT,06/24/2024,"LYFT   *1 RIDE 06-21 HELP.LYFT.COM CA        06/23",-24.77,DEBIT_CARD, ,,
DEBIT,06/21/2024,"M NAIL BAR DALLAS TX                         06/20",-68.40,DEBIT_CARD, ,,
DEBIT,06/21/2024,"TST* FERNANDO S CITYLIN DALLAS TX            06/20",-55.98,DEBIT_CARD, ,,
DEBIT,06/20/2024,"AMAZON MKTPL*XG1Z49M Amzn.com/bill WA        06/19",-48.70,DEBIT_CARD, ,,
DEBIT,06/20/2024,"AMAZON MKTPL*3L5M97O Amzn.com/bill WA        06/20",-37.88,DEBIT_CARD, ,,
DEBIT,06/20/2024,"AMAZON PRIME*750ES6VU 888-802-3080 WA        06/20",-5.40,DEBIT_CARD, ,,
DEBIT,06/17/2024,"AMAZON PRIME*UB7C56Q1 888-802-3080 WA        06/14",-5.40,DEBIT_CARD, ,,
DEBIT,06/17/2024,"Spectrum 855-707-7328 MO                     06/15",-65.33,DEBIT_CARD, ,,
DEBIT,06/17/2024,"VENMO  *Rafik Rizik Visa Direct NY           06/15",-600.00,DEBIT_CARD, ,,
DEBIT,06/13/2024,"ELM ST SHARED ACCOUNT DALLAS TX              06/12",-18.00,DEBIT_CARD, ,,
DEBIT,06/13/2024,"AMZN Mktp US*MY1RS66 Amzn.com/bill WA        06/13",-24.35,DEBIT_CARD, ,,
DEBIT,06/12/2024,"TST* WHITE ROCK COFFEE Dallas TX             06/11",-14.08,DEBIT_CARD, ,,
DEBIT,06/12/2024,"AMZN Mktp US*262LT16 Amzn.com/bill WA        06/12",-129.88,DEBIT_CARD, ,,
DEBIT,06/11/2024,"AMZN Mktp US*3V62B3E Amzn.com/bill WA        06/10",-25.36,DEBIT_CARD, ,,
DEBIT,06/11/2024,"AMAZON PRIME*W60PY8DQ 888-802-3080 WA        06/11",-5.40,DEBIT_CARD, ,,
DEBIT,06/10/2024,"TST* WHITE ROCK COFFEE Dallas TX             06/07",-14.62,DEBIT_CARD, ,,
DEBIT,06/07/2024,"ELM ST SHARED ACCOUNT DALLAS TX              06/06",-18.00,DEBIT_CARD, ,,
DEBIT,06/06/2024,"CENTRAL MARKET #552 DALLAS TX        717565  06/06",-21.99,DEBIT_CARD, ,,
DEBIT,06/05/2024,"VC* BUCKINGHAM PLANO HTTPSWWW.VETC FL        06/05",-76.37,DEBIT_CARD, ,,
DEBIT,06/04/2024,"FIRST WATCH - 0290 DALLAS TX                 06/03",-43.04,DEBIT_CARD, ,,
DEBIT,06/03/2024,"GOOGLE *Google Storag 855-836-3987 CA        06/02",-2.12,DEBIT_CARD, ,,
DEBIT,06/03/2024,"CG BOLD+ CAMPGLADIATOR TX                    06/02",-79.00,DEBIT_CARD, ,,
DEBIT,06/03/2024,"CVS/PHARM 02979--6120 DALLAS TX              06/02",-12.99,DEBIT_CARD, ,,
