Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,03/29/2024,"GOOGLE *WM Max LLC 855-836-3987 CA           03/29",-17.31,DEBIT_CARD, ,,
DEBIT,03/29/2024,"Peacock 99F79 Premium 212-6640138 NY         03/29",-6.48,DEBIT_CARD, ,,
DEBIT,03/29/2024,"PETSMART # 1232 DALLAS TX            145670  03/29",-34.52,DEBIT_CARD, ,,
DEBIT,03/28/2024,"ELM ST SHARED ACCOUNT DALLAS TX              03/27",-14.00,DEBIT_CARD, ,,
DEBIT,03/28/2024,"UBER   EATS HELP.UBER.COM CA                 03/28",-29.69,DEBIT_CARD, ,,
DEBIT,03/28/2024,"LYFT   *INCREASE TIP HELP.LYFT.COM CA        03/28",-3.00,DEBIT_CARD, ,,
DEBIT,03/28/2024,"CENTRAL MARKET #552 DALLAS TX        154977  03/28",-107.93,DEBIT_CARD, ,,
DEBIT,03/27/2024,"AMZN Mktp US*594DK5E Amzn.com/bill WA        03/27",-175.00,DEBIT_CARD, ,,
DEBIT,03/27/2024,"STATE FARM  INSURANCE 800-956-6310 IL        03/26",-159.36,DEBIT_CARD, ,,
DEBIT,03/27/2024,"TST* WILD SALSA - DALLA Dallas TX            03/26",-21.32,DEBIT_CARD, ,,
DEBIT,03/27/2024,"Amazon.com*443YV0GR3 Amzn.com/bill WA        03/26",-21.12,DEBIT_CARD, ,,
DEBIT,03/27/2024,"M NAIL BAR DALLAS TX                         03/26",-66.00,DEBIT_CARD, ,,
DEBIT,03/27/2024,"FEDEX OFFIC12600001263 DALLAS TX             03/26",-0.60,DEBIT_CARD, ,,
DEBIT,03/27/2024,"FEDEX OFFIC12600001263 DALLAS TX             03/26",-4.76,DEBIT_CARD, ,,
DEBIT,03/27/2024,"FEDEX OFFIC12600001263 DALLAS TX             03/26",-5.96,DEBIT_CARD, ,,
DEBIT,03/27/2024,"UBER   *EATS SAN FRANCISCO CA        137177  03/27",-5.34,DEBIT_CARD, ,,
DEBIT,03/26/2024,"AMZN Mktp US*RH66C18 Amzn.com/bill WA        03/25",-43.29,DEBIT_CARD, ,,
DEBIT,03/26/2024,"AMZN Mktp US*RA95V3D Amzn.com/bill WA        03/25",-10.77,DEBIT_CARD, ,,
DEBIT,03/26/2024,"NETFLIX.COM NETFLIX.COM CA                   03/26",-24.89,DEBIT_CARD, ,,
DEBIT,03/22/2024,"ELM ST SHARED ACCOUNT DALLAS TX              03/21",-14.00,DEBIT_CARD, ,,
DEBIT,03/22/2024,"AMZN Mktp US*R61O78W Amzn.com/bill WA        03/21",-137.47,DEBIT_CARD, ,,
DEBIT,03/22/2024,"AMAZON PRIME*RH8A27O9 888-802-3080 WA        03/22",-4.32,DEBIT_CARD, ,,
DEBIT,03/22/2024,"CENTRAL MARKET #552 DALLAS TX        385881  03/22",-73.97,DEBIT_CARD, ,,
DEBIT,03/21/2024,"LYFT   *1 RIDE 03-19 HELP.LYFT.COM CA        03/21",-6.34,DEBIT_CARD, ,,
DEBIT,03/21/2024,"ELM ST SHARED ACCOUNT DALLAS TX              03/20",-9.00,DEBIT_CARD, ,,
DEBIT,03/21/2024,"JP Bexar County  Bexar      T21871938       WEB ID: 1810599849",-7672.92,ACH_DEBIT, ,,
DEBIT,03/20/2024,"Amazon.com*R62KS6841 Amzn.com/bill WA        03/19",-37.89,DEBIT_CARD, ,,
DEBIT,03/20/2024,"BERKLEY'S MARKET 33985 DALLAS TX             03/19",-16.36,DEBIT_CARD, ,,
DEBIT,03/19/2024,"PIE TAP PIZZA WORKSHO 972-432-7800 TX        03/18",-49.37,DEBIT_CARD, ,,
DEBIT,03/19/2024,"AMZN Mktp US*RH4J113 Amzn.com/bill WA        03/19",-61.75,DEBIT_CARD, ,,
DEBIT,03/18/2024,"TST* PALMER'S HOT CHICK DALLAS TX            03/16",-32.87,DEBIT_CARD, ,,
DEBIT,03/18/2024,"TST* WHITE ROCK COFFEE Dallas TX             03/16",-15.70,DEBIT_CARD, ,,
DEBIT,03/15/2024,"TUPINAMBA CAFE RESTAUR 972-9918148 TX        03/14",-31.54,DEBIT_CARD, ,,
DEBIT,03/15/2024,"AMZN Mktp US*R667L0C Amzn.com/bill WA        03/15",-10.78,DEBIT_CARD, ,,
DEBIT,03/15/2024,"Spectrum 855-707-7328 MO                     03/15",-65.33,DEBIT_CARD, ,,
DEBIT,03/14/2024,"ELM ST SHARED ACCOUNT DALLAS TX              03/13",-14.00,DEBIT_CARD, ,,
DEBIT,03/14/2024,"Amazon.com*R661P2VH2 Amzn.com/bill WA        03/14",-12.44,DEBIT_CARD, ,,
DEBIT,03/14/2024,"TST* BUZZ & BUSTLE Dallas TX                 03/13",-15.96,DEBIT_CARD, ,,
