Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,05/31/2024,"AMZN Mktp US*1G0XZ14 Amzn.com/bill WA        05/30",-31.38,DEBIT_CARD, ,,
DEBIT,05/31/2024,"AMZN Mktp US*UM14N0I Amzn.com/bill WA        05/31",-21.64,DEBIT_CARD, ,,
DEBIT,05/31/2024,"AMZN Mktp US*JZ7Z17H Amzn.com/bill WA        05/31",-20.56,DEBIT_CARD, ,,
DEBIT,05/31/2024,"Audible*U62VW3QZ3 Amzn.com/bill NJ           05/30",-16.18,DEBIT_CARD, ,,
DEBIT,05/31/2024,"Prime Video Channels amzn.com/bill WA        05/30",-7.57,DEBIT_CARD, ,,
DEBIT,05/30/2024,"STATE FARM  INSURANCE 800-956-6310 IL        05/29",-153.86,DEBIT_CARD, ,,
DEBIT,05/30/2024,"PIE TAP PIZZA WORKSHO 972-432-7800 TX        05/29",-40.05,DEBIT_CARD, ,,
DEBIT,05/30/2024,"TOM THUMB #2642 DALLAS TX            394867  05/30",-434.94,DEBIT_CARD, ,,
DEBIT,05/29/2024,"Amazon.com*4A02F7AV3 Amzn.com/bill WA        05/28",-28.13,DEBIT_CARD, ,,
DEBIT,05/29/2024,"GOOGLE *WM Max LLC g.co/helppay# CA          05/29",-17.31,DEBIT_CARD, ,,
DEBIT,05/29/2024,"Peacock F9D92 Premium 212-6640138 NY         05/29",-6.48,DEBIT_CARD, ,,
DEBIT,05/28/2024,"IN-N-OUT DALLAS-CARUTH DALLAS TX             05/24",-20.68,DEBIT_CARD, ,,
DEBIT,05/28/2024,"TST* WHITE ROCK COFFEE Dallas TX             05/25",-15.70,DEBIT_CARD, ,,
DEBIT,05/28/2024,"SIGELS BEVERAGES #91 DALLAS TX       188784  05/25",-98.51,DEBIT_CARD, ,,
DEBIT,05/28/2024,"AMAZON PRIME*4E5C40UX 888-802-3080 WA        05/26",-5.40,DEBIT_CARD, ,,
DEBIT,05/28/2024,"Netflix 1 8445052993 CA                      05/26",-24.89,DEBIT_CARD, ,,
DEBIT,05/24/2024,"AMAZON PRIME*WL89Y6NX 888-802-3080 WA        05/24",-5.40,DEBIT_CARD, ,,
