Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,09/18/2024,"CMM POS DEBIT                MOVEMENT PLANO           ENGLEWOOD     CO",-23.82,MISC_DEBIT, ,,
DEBIT,09/18/2024,"IPC POS DEBIT                VC* BUCKINGHAM PLANO R    +13322405022 FL",-76.37,MISC_DEBIT, ,,
DEBIT,09/16/2024,"LULUS FASHION LOUNGE HTTPSWWW.LULU CA        09/14",-51.09,DEBIT_CARD, ,,
DEBIT,09/16/2024,"CVS/PHARMACY #04 04625 PLANO TX      929178  09/14",-18.06,DEBIT_CARD, ,,
DEBIT,09/16/2024,"Spectrum 855-707-7328 MO                     09/15",-68.35,DEBIT_CARD, ,,
DEBIT,09/13/2024,"AMAZON MKTPL*NJ05P1N Amzn.com/bill WA        09/12",-10.81,DEBIT_CARD, ,,
DEBIT,09/12/2024,"ELM ST SHARED ACCOUNT DALLAS TX              09/11",-18.00,DEBIT_CARD, ,,
DEBIT,09/11/2024,"TOM THUMB FS2642 DALLAS TX                   09/10",-41.03,DEBIT_CARD, ,,
DEBIT,09/11/2024,"PIE TAP PIZZA WORKSHO 972-432-7800 TX        09/10",-36.48,DEBIT_CARD, ,,
DEBIT,09/10/2024,"Amazon.com*FS7QW4DW3 Amzn.com/bill WA        09/10",-32.51,DEBIT_CARD, ,,
DEBIT,09/09/2024,"M NAIL BAR DALLAS TX                         09/08",-52.00,DEBIT_CARD, ,,
DEBIT,09/09/2024,"Kindle Svcs*ZT85F32I1 888-802-3080 WA        09/08",-5.40,DEBIT_CARD, ,,
DEBIT,09/06/2024,"AMAZON MKTPL*ZT8FR2P Amzn.com/bill WA        09/05",-65.74,DEBIT_CARD, ,,
DEBIT,09/06/2024,"ELM ST SHARED ACCOUNT DALLAS TX              09/05",-9.00,DEBIT_CARD, ,,
DEBIT,09/04/2024,"TOM THUMB #2642 DALLAS TX                    09/03",-47.06,DEBIT_CARD, ,,
DEBIT,09/04/2024,"AMAZON MKTPL*ZT32N3Z Amzn.com/bill WA        09/04",-16.23,DEBIT_CARD, ,,
DEBIT,09/04/2024,"AMAZON MKTPL*ZT5O58L Amzn.com/bill WA        09/04",-65.68,DEBIT_CARD, ,,
DEBIT,09/03/2024,"Prime Video Channels amzn.com/bill WA        08/30",-7.57,DEBIT_CARD, ,,
DEBIT,09/03/2024,"Audible*RK8EQ4UN2 Amzn.com/bill NJ           08/30",-16.18,DEBIT_CARD, ,,
DEBIT,09/03/2024,"Kindle Svcs*RK3FS2M60 888-802-3080 WA        08/31",-4.32,DEBIT_CARD, ,,
DEBIT,09/03/2024,"GOOGLE *Google One 855-836-3987 CA           09/02",-2.12,DEBIT_CARD, ,,
DEBIT,09/03/2024,"CG BOLD+ CAMPGLADIATOR TX                    09/02",-79.00,DEBIT_CARD, ,,
DEBIT,09/03/2024,"CVS/PHARMACY #06824 DALLAS TX        052767  09/02",-50.67,DEBIT_CARD, ,,
DEBIT,09/03/2024,"TST*WHITE ROCK COFFEE - Dallas TX            09/02",-16.29,DEBIT_CARD, ,,
DEBIT,09/03/2024,"MOVEMENT THE HILL WWW.MOVEMENTG CO           09/03",-23.82,DEBIT_CARD, ,,
DEBIT,09/03/2024,"PETSMART # 1232 DALLAS TX            852401  09/03",-60.13,DEBIT_CARD, ,,
